PHRASE: speed of sound _nytCount: 5 _historyStories.size(): 8 _mentions: 8        _unique stories: 1
PHRASE: mission to saturn _nytCount: 6 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: mojave desert _nytCount: 7 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: robert l _nytCount: 7 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: neutron star _nytCount: 7 _historyStories.size(): 8 _mentions: 10        _unique stories: 0
PHRASE: service module _nytCount: 7 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: clinton administrations _nytCount: 7 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: rocket program _nytCount: 7 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: nasa astronaut _nytCount: 8 _historyStories.size(): 8 _mentions: 9        _unique stories: 0
PHRASE: future space _nytCount: 9 _historyStories.size(): 8 _mentions: 10        _unique stories: 0
PHRASE: shuttle astronauts _nytCount: 9 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: moon io _nytCount: 9 _historyStories.size(): 8 _mentions: 10        _unique stories: 1
PHRASE: e blaha _nytCount: 9 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: fuel tanks _nytCount: 10 _historyStories.size(): 8 _mentions: 10        _unique stories: 1
PHRASE: space flights _nytCount: 12 _historyStories.size(): 8 _mentions: 9        _unique stories: 0
PHRASE: flight controllers _nytCount: 13 _historyStories.size(): 8 _mentions: 10        _unique stories: 1
PHRASE: russian rocket _nytCount: 15 _historyStories.size(): 8 _mentions: 8        _unique stories: 0
PHRASE: investigation board _nytCount: 28 _historyStories.size(): 8 _mentions: 11        _unique stories: 0
PHRASE: shuttle fleet _nytCount: 34 _historyStories.size(): 8 _mentions: 9        _unique stories: 0
PHRASE: rocket motor _nytCount: 2 _historyStories.size(): 7 _mentions: 10        _unique stories: 1
PHRASE: astronaut c _nytCount: 2 _historyStories.size(): 7 _mentions: 7        _unique stories: 0
PHRASE: wake shield _nytCount: 2 _historyStories.size(): 7 _mentions: 7        _unique stories: 0
